"ISP (UTC)","Area","+Imbalance Price (EUR/MWh)","+Scarcity (EUR/MWh)","+Incentive (EUR/MWh)","+Financial Neutrality (EUR/MWh)","-Imbalance Price (EUR/MWh)","-Scarcity (EUR/MWh)","-Incentive (EUR/MWh)","-Financial Neutrality (EUR/MWh)","Status","Total Imbalance (MWh)","Total Imbalance - Difference (MWh)","Total Imbalance - Situation","Total Imbalance - Status"
"18/05/2024 20:00 - 18/05/2024 21:00","SCA|DK2","96.52"," "," "," ","96.52"," "," "," "," ","306.40"," ","Deficit","Final"
"18/05/2024 21:00 - 18/05/2024 22:00","SCA|DK2","86.60"," "," "," ","86.60"," "," "," "," ","403.00"," ","Deficit","Final"
"18/05/2024 22:00 - 18/05/2024 23:00","SCA|DK2","90.69"," "," "," ","90.69"," "," "," "," ","206.10"," ","Deficit","Final"
"18/05/2024 23:00 - 19/05/2024 00:00","SCA|DK2","89.06"," "," "," ","89.06"," "," "," "," ","252.50"," ","Deficit","Final"
"19/05/2024 00:00 - 19/05/2024 01:00","SCA|DK2","88.66"," "," "," ","88.66"," "," "," "," ","452.70"," ","Deficit","Final"
"19/05/2024 01:00 - 19/05/2024 02:00","SCA|DK2","32.00"," "," "," ","32.00"," "," "," "," ","474.90"," ","Deficit","Final"
"19/05/2024 02:00 - 19/05/2024 03:00","SCA|DK2","86.13"," "," "," ","86.13"," "," "," "," ","145.80"," ","Deficit","Final"
"19/05/2024 03:00 - 19/05/2024 04:00","SCA|DK2","80.56"," "," "," ","80.56"," "," "," "," ","12.60"," ","Surplus","Final"
"19/05/2024 04:00 - 19/05/2024 05:00","SCA|DK2","201.06"," "," "," ","201.06"," "," "," "," ","89.30"," ","Deficit","Final"
"19/05/2024 05:00 - 19/05/2024 06:00","SCA|DK2","70.24"," "," "," ","70.24"," "," "," "," ","210.90"," ","Deficit","Final"
"19/05/2024 06:00 - 19/05/2024 07:00","SCA|DK2","19.00"," "," "," ","19.00"," "," "," "," ","11.10"," ","Deficit","Final"
"19/05/2024 07:00 - 19/05/2024 08:00","SCA|DK2","16.00"," "," "," ","16.00"," "," "," "," ","30.80"," ","Deficit","Final"
"19/05/2024 08:00 - 19/05/2024 09:00","SCA|DK2","7.00"," "," "," ","7.00"," "," "," "," ","84.90"," ","Deficit","Final"
"19/05/2024 09:00 - 19/05/2024 10:00","SCA|DK2","-4.00"," "," "," ","-4.00"," "," "," "," ","102.50"," ","Surplus","Final"
"19/05/2024 10:00 - 19/05/2024 11:00","SCA|DK2","-4.00"," "," "," ","-4.00"," "," "," "," ","137.10"," ","Surplus","Final"
"19/05/2024 11:00 - 19/05/2024 12:00","SCA|DK2","-7.41"," "," "," ","-7.41"," "," "," "," ","214.00"," ","Surplus","Final"
"19/05/2024 12:00 - 19/05/2024 13:00","SCA|DK2","1.00"," "," "," ","1.00"," "," "," "," ","228.60"," ","Surplus","Final"
"19/05/2024 13:00 - 19/05/2024 14:00","SCA|DK2","-10.00"," "," "," ","-10.00"," "," "," "," ","134.90"," ","Surplus","Final"
"19/05/2024 14:00 - 19/05/2024 15:00","SCA|DK2","-3.79"," "," "," ","-3.79"," "," "," "," ","185.50"," ","Surplus","Final"
"19/05/2024 15:00 - 19/05/2024 16:00","SCA|DK2","10.50"," "," "," ","10.50"," "," "," "," ","32.30"," ","Surplus","Final"
"19/05/2024 16:00 - 19/05/2024 17:00","SCA|DK2","64.17"," "," "," ","64.17"," "," "," "," ","290.80"," ","Deficit","Final"
"19/05/2024 17:00 - 19/05/2024 18:00","SCA|DK2","89.59"," "," "," ","89.59"," "," "," "," ","241.60"," ","Deficit","Final"
"19/05/2024 18:00 - 19/05/2024 19:00","SCA|DK2","113.66"," "," "," ","113.66"," "," "," "," ","205.70"," ","Deficit","Final"
"19/05/2024 19:00 - 19/05/2024 20:00","SCA|DK2","122.86"," "," "," ","122.86"," "," "," "," ","286.30"," ","Deficit","Final"
"19/05/2024 20:00 - 19/05/2024 21:00","SCA|DK2","101.93"," "," "," ","101.93"," "," "," "," ","75.80"," ","Deficit","Final"
"19/05/2024 21:00 - 19/05/2024 22:00","SCA|DK2","86.14"," "," "," ","86.14"," "," "," "," ","128.10"," ","Deficit","Final"
"19/05/2024 22:00 - 19/05/2024 23:00","SCA|DK2","91.09"," "," "," ","91.09"," "," "," "," ","164.80"," ","Deficit","Final"
"19/05/2024 23:00 - 20/05/2024 00:00","SCA|DK2","41.50"," "," "," ","41.50"," "," "," "," ","38.90"," ","Deficit","Final"
"20/05/2024 00:00 - 20/05/2024 01:00","SCA|DK2","86.73"," "," "," ","86.73"," "," "," "," ","77.50"," ","Deficit","Final"
"20/05/2024 01:00 - 20/05/2024 02:00","SCA|DK2","86.09"," "," "," ","86.09"," "," "," "," ","73.90"," ","Deficit","Final"
"20/05/2024 02:00 - 20/05/2024 03:00","SCA|DK2","88.21"," "," "," ","88.21"," "," "," "," ","81.60"," ","Deficit","Final"
"20/05/2024 03:00 - 20/05/2024 04:00","SCA|DK2","91.46"," "," "," ","91.46"," "," "," "," ","65.40"," ","Deficit","Final"
"20/05/2024 04:00 - 20/05/2024 05:00","SCA|DK2","104.72"," "," "," ","104.72"," "," "," "," ","152.10"," ","Deficit","Final"
"20/05/2024 05:00 - 20/05/2024 06:00","SCA|DK2","41.50"," "," "," ","41.50"," "," "," "," ","258.60"," ","Deficit","Final"
"20/05/2024 06:00 - 20/05/2024 07:00","SCA|DK2","29.50"," "," "," ","29.50"," "," "," "," ","50.30"," ","Deficit","Final"
"20/05/2024 07:00 - 20/05/2024 08:00","SCA|DK2","32.80"," "," "," ","32.80"," "," "," "," ","47.00"," ","Surplus","Final"
"20/05/2024 08:00 - 20/05/2024 09:00","SCA|DK2","32.00"," "," "," ","32.00"," "," "," "," ","61.40"," ","Deficit","Final"
"20/05/2024 09:00 - 20/05/2024 10:00","SCA|DK2","32.00"," "," "," ","32.00"," "," "," "," ","247.50"," ","Surplus","Final"
"20/05/2024 10:00 - 20/05/2024 11:00","SCA|DK2","2.41"," "," "," ","2.41"," "," "," "," ","281.30"," ","Surplus","Final"
"20/05/2024 11:00 - 20/05/2024 12:00","SCA|DK2","0.01"," "," "," ","0.01"," "," "," "," ","282.00"," ","Surplus","Final"
"20/05/2024 12:00 - 20/05/2024 13:00","SCA|DK2","0.02"," "," "," ","0.02"," "," "," "," ","270.10"," ","Surplus","Final"
"20/05/2024 13:00 - 20/05/2024 14:00","SCA|DK2","3.73"," "," "," ","3.73"," "," "," "," ","408.10"," ","Surplus","Final"
"20/05/2024 14:00 - 20/05/2024 15:00","SCA|DK2","38.00"," "," "," ","38.00"," "," "," "," ","10.80"," ","Deficit","Final"
"20/05/2024 15:00 - 20/05/2024 16:00","SCA|DK2","50.75"," "," "," ","50.75"," "," "," "," ","290.90"," ","Deficit","Final"
"20/05/2024 16:00 - 20/05/2024 17:00","SCA|DK2","78.94"," "," "," ","78.94"," "," "," "," ","304.30"," ","Deficit","Final"
"20/05/2024 17:00 - 20/05/2024 18:00","SCA|DK2","105.96"," "," "," ","105.96"," "," "," "," ","97.80"," ","Surplus","Final"
"20/05/2024 18:00 - 20/05/2024 19:00","SCA|DK2","125.76"," "," "," ","125.76"," "," "," "," ","97.30"," ","Surplus","Final"
"20/05/2024 19:00 - 20/05/2024 20:00","SCA|DK2","116.78"," "," "," ","116.78"," "," "," "," ","7.90"," ","Deficit","Final"
"20/05/2024 20:00 - 20/05/2024 21:00","SCA|DK2","96.63"," "," "," ","96.63"," "," "," "," ","84.70"," ","Deficit","Final"
"20/05/2024 21:00 - 20/05/2024 22:00","SCA|DK2","79.86"," "," "," ","79.86"," "," "," "," ","57.70"," ","Deficit","Final"
"20/05/2024 22:00 - 20/05/2024 23:00","SCA|DK2","66.01"," "," "," ","66.01"," "," "," "," ","88.70"," ","Deficit","Final"
"20/05/2024 23:00 - 21/05/2024 00:00","SCA|DK2","27.87"," "," "," ","27.87"," "," "," "," ","185.10"," ","Deficit","Final"
"21/05/2024 00:00 - 21/05/2024 01:00","SCA|DK2","10.00"," "," "," ","10.00"," "," "," "," ","4.50"," ","Deficit","Final"
"21/05/2024 01:00 - 21/05/2024 02:00","SCA|DK2","201.05"," "," "," ","201.05"," "," "," "," ","32.60"," ","Deficit","Final"
"21/05/2024 02:00 - 21/05/2024 03:00","SCA|DK2","9.99"," "," "," ","9.99"," "," "," "," ","90.60"," ","Deficit","Final"
"21/05/2024 03:00 - 21/05/2024 04:00","SCA|DK2","20.00"," "," "," ","20.00"," "," "," "," ","48.60"," ","Deficit","Final"
"21/05/2024 04:00 - 21/05/2024 05:00","SCA|DK2","26.67"," "," "," ","26.67"," "," "," "," ","247.90"," ","Deficit","Final"
"21/05/2024 05:00 - 21/05/2024 06:00","SCA|DK2","117.09"," "," "," ","117.09"," "," "," "," ","47.90"," ","Deficit","Final"
"21/05/2024 06:00 - 21/05/2024 07:00","SCA|DK2","96.39"," "," "," ","96.39"," "," "," "," ","175.20"," ","Deficit","Final"
"21/05/2024 07:00 - 21/05/2024 08:00","SCA|DK2","45.50"," "," "," ","45.50"," "," "," "," ","260.50"," ","Deficit","Final"
"21/05/2024 08:00 - 21/05/2024 09:00","SCA|DK2","44.00"," "," "," ","44.00"," "," "," "," ","188.10"," ","Deficit","Final"
"21/05/2024 09:00 - 21/05/2024 10:00","SCA|DK2","39.00"," "," "," ","39.00"," "," "," "," ","185.80"," ","Surplus","Final"
"21/05/2024 10:00 - 21/05/2024 11:00","SCA|DK2","37.99"," "," "," ","37.99"," "," "," "," ","51.70"," ","Surplus","Final"
"21/05/2024 11:00 - 21/05/2024 12:00","SCA|DK2","32.00"," "," "," ","32.00"," "," "," "," ","121.40"," ","Surplus","Final"
"21/05/2024 12:00 - 21/05/2024 13:00","SCA|DK2","15.04"," "," "," ","15.04"," "," "," "," ","161.30"," ","Surplus","Final"
"21/05/2024 13:00 - 21/05/2024 14:00","SCA|DK2","20.75"," "," "," ","20.75"," "," "," "," ","7.50"," ","Deficit","Final"
"21/05/2024 14:00 - 21/05/2024 15:00","SCA|DK2","24.99"," "," "," ","24.99"," "," "," "," ","287.10"," ","Deficit","Final"
"21/05/2024 15:00 - 21/05/2024 16:00","SCA|DK2","31.14"," "," "," ","31.14"," "," "," "," ","283.40"," ","Deficit","Final"
"21/05/2024 16:00 - 21/05/2024 17:00","SCA|DK2","38.00"," "," "," ","38.00"," "," "," "," ","300.60"," ","Deficit","Final"
"21/05/2024 17:00 - 21/05/2024 18:00","SCA|DK2","55.75"," "," "," ","55.75"," "," "," "," ","247.30"," ","Deficit","Final"
"21/05/2024 18:00 - 21/05/2024 19:00","SCA|DK2","57.36"," "," "," ","57.36"," "," "," "," ","194.90"," ","Deficit","Final"
"21/05/2024 19:00 - 21/05/2024 20:00","SCA|DK2","57.73"," "," "," ","57.73"," "," "," "," ","244.00"," ","Deficit","Final"
"21/05/2024 20:00 - 21/05/2024 21:00","SCA|DK2","38.65"," "," "," ","38.65"," "," "," "," ","222.60"," ","Deficit","Final"
"21/05/2024 21:00 - 21/05/2024 22:00","SCA|DK2","2.00"," "," "," ","2.00"," "," "," "," ","132.60"," ","Deficit","Final"
"21/05/2024 22:00 - 21/05/2024 23:00","SCA|DK2","0.00"," "," "," ","0.00"," "," "," "," ","30.60"," ","Deficit","Final"
"21/05/2024 23:00 - 22/05/2024 00:00","SCA|DK2","-2.59"," "," "," ","-2.59"," "," "," "," ","37.50"," ","Deficit","Final"
"22/05/2024 00:00 - 22/05/2024 01:00","SCA|DK2","-14.07"," "," "," ","-14.07"," "," "," "," ","45.60"," ","Deficit","Final"
"22/05/2024 01:00 - 22/05/2024 02:00","SCA|DK2","-19.00"," "," "," ","-19.00"," "," "," "," ","69.80"," ","Surplus","Final"
"22/05/2024 02:00 - 22/05/2024 03:00","SCA|DK2","-20.00"," "," "," ","-20.00"," "," "," "," ","13.40"," ","Deficit","Final"
"22/05/2024 03:00 - 22/05/2024 04:00","SCA|DK2","-20.00"," "," "," ","-20.00"," "," "," "," ","157.40"," ","Surplus","Final"
"22/05/2024 04:00 - 22/05/2024 05:00","SCA|DK2","-8.00"," "," "," ","-8.00"," "," "," "," ","5.30"," ","Deficit","Final"
"22/05/2024 05:00 - 22/05/2024 06:00","SCA|DK2","18.00"," "," "," ","18.00"," "," "," "," ","18.20"," ","Deficit","Final"
"22/05/2024 06:00 - 22/05/2024 07:00","SCA|DK2","55.00"," "," "," ","55.00"," "," "," "," ","41.00"," ","Deficit","Final"
"22/05/2024 07:00 - 22/05/2024 08:00","SCA|DK2","52.00"," "," "," ","52.00"," "," "," "," ","90.80"," ","Surplus","Final"
"22/05/2024 08:00 - 22/05/2024 09:00","SCA|DK2","20.36"," "," "," ","20.36"," "," "," "," ","276.40"," ","Surplus","Final"
"22/05/2024 09:00 - 22/05/2024 10:00","SCA|DK2","9.34"," "," "," ","9.34"," "," "," "," ","180.70"," ","Surplus","Final"
"22/05/2024 10:00 - 22/05/2024 11:00","SCA|DK2","4.92"," "," "," ","4.92"," "," "," "," ","10.80"," ","Deficit","Final"
"22/05/2024 11:00 - 22/05/2024 12:00","SCA|DK2","3.61"," "," "," ","3.61"," "," "," "," ","210.20"," ","Deficit","Final"
"22/05/2024 12:00 - 22/05/2024 13:00","SCA|DK2","20.00"," "," "," ","20.00"," "," "," "," ","288.10"," ","Deficit","Final"
"22/05/2024 13:00 - 22/05/2024 14:00","SCA|DK2","20.11"," "," "," ","20.11"," "," "," "," ","281.70"," ","Deficit","Final"
"22/05/2024 14:00 - 22/05/2024 15:00","SCA|DK2","4.29"," "," "," ","4.29"," "," "," "," ","371.40"," ","Deficit","Final"
"22/05/2024 15:00 - 22/05/2024 16:00","SCA|DK2","13.66"," "," "," ","13.66"," "," "," "," ","298.60"," ","Deficit","Final"
"22/05/2024 16:00 - 22/05/2024 17:00","SCA|DK2","56.69"," "," "," ","56.69"," "," "," "," ","256.10"," ","Deficit","Final"
"22/05/2024 17:00 - 22/05/2024 18:00","SCA|DK2","64.43"," "," "," ","64.43"," "," "," "," ","213.50"," ","Deficit","Final"
"22/05/2024 18:00 - 22/05/2024 19:00","SCA|DK2","64.46"," "," "," ","64.46"," "," "," "," ","217.00"," ","Deficit","Final"
"22/05/2024 19:00 - 22/05/2024 20:00","SCA|DK2","68.03"," "," "," ","68.03"," "," "," "," ","202.50"," ","Deficit","Final"
"22/05/2024 20:00 - 22/05/2024 21:00","SCA|DK2","536.09"," "," "," ","536.09"," "," "," "," ","82.00"," ","Deficit","Final"
"22/05/2024 21:00 - 22/05/2024 22:00","SCA|DK2","-1.50"," "," "," ","-1.50"," "," "," "," ","9.30"," ","Deficit","Final"
"22/05/2024 22:00 - 22/05/2024 23:00","SCA|DK2","334.19"," "," "," ","334.19"," "," "," "," ","58.00"," ","Surplus","Final"
"22/05/2024 23:00 - 23/05/2024 00:00","SCA|DK2","268.04"," "," "," ","268.04"," "," "," "," ","45.50"," ","Deficit","Final"
"23/05/2024 00:00 - 23/05/2024 01:00","SCA|DK2","-3.88"," "," "," ","-3.88"," "," "," "," ","32.30"," ","Surplus","Final"
"23/05/2024 01:00 - 23/05/2024 02:00","SCA|DK2","69.31"," "," "," ","69.31"," "," "," "," ","2.50"," ","Deficit","Final"
"23/05/2024 02:00 - 23/05/2024 03:00","SCA|DK2","-3.35"," "," "," ","-3.35"," "," "," "," ","38.30"," ","Deficit","Final"
"23/05/2024 03:00 - 23/05/2024 04:00","SCA|DK2","74.98"," "," "," ","74.98"," "," "," "," ","82.90"," ","Surplus","Final"
"23/05/2024 04:00 - 23/05/2024 05:00","SCA|DK2","730.14"," "," "," ","730.14"," "," "," "," ","105.60"," ","Surplus","Final"
"23/05/2024 05:00 - 23/05/2024 06:00","SCA|DK2","34.00"," "," "," ","34.00"," "," "," "," ","211.50"," ","Deficit","Final"
"23/05/2024 06:00 - 23/05/2024 07:00","SCA|DK2","97.84"," "," "," ","97.84"," "," "," "," ","21.60"," ","Deficit","Final"
"23/05/2024 07:00 - 23/05/2024 08:00","SCA|DK2","75.65"," "," "," ","75.65"," "," "," "," ","249.70"," ","Deficit","Final"
"23/05/2024 08:00 - 23/05/2024 09:00","SCA|DK2","40.00"," "," "," ","40.00"," "," "," "," ","338.00"," ","Deficit","Final"
"23/05/2024 09:00 - 23/05/2024 10:00","SCA|DK2","40.00"," "," "," ","40.00"," "," "," "," ","241.40"," ","Deficit","Final"
"23/05/2024 10:00 - 23/05/2024 11:00","SCA|DK2","1.34"," "," "," ","1.34"," "," "," "," ","296.00"," ","Deficit","Final"
"23/05/2024 11:00 - 23/05/2024 12:00","SCA|DK2","335.08"," "," "," ","335.08"," "," "," "," ","247.80"," ","Deficit","Final"
"23/05/2024 12:00 - 23/05/2024 13:00","SCA|DK2","241.23"," "," "," ","241.23"," "," "," "," ","161.70"," ","Deficit","Final"
"23/05/2024 13:00 - 23/05/2024 14:00","SCA|DK2","71.40"," "," "," ","71.40"," "," "," "," ","220.70"," ","Deficit","Final"
"23/05/2024 14:00 - 23/05/2024 15:00","SCA|DK2","83.77"," "," "," ","83.77"," "," "," "," ","408.90"," ","Deficit","Final"
"23/05/2024 15:00 - 23/05/2024 16:00","SCA|DK2","96.64"," "," "," ","96.64"," "," "," "," ","680.40"," ","Deficit","Final"
"23/05/2024 16:00 - 23/05/2024 17:00","SCA|DK2","111.49"," "," "," ","111.49"," "," "," "," ","781.80"," ","Deficit","Final"
"23/05/2024 17:00 - 23/05/2024 18:00","SCA|DK2","156.28"," "," "," ","156.28"," "," "," "," ","824.00"," ","Deficit","Final"
"23/05/2024 18:00 - 23/05/2024 19:00","SCA|DK2","175.74"," "," "," ","175.74"," "," "," "," ","734.70"," ","Deficit","Final"
"23/05/2024 19:00 - 23/05/2024 20:00","SCA|DK2","155.98"," "," "," ","155.98"," "," "," "," ","361.10"," ","Deficit","Final"
"23/05/2024 20:00 - 23/05/2024 21:00","SCA|DK2","31.79"," "," "," ","31.79"," "," "," "," ","232.60"," ","Deficit","Final"
"23/05/2024 21:00 - 23/05/2024 22:00","SCA|DK2","35.71"," "," "," ","35.71"," "," "," "," ","177.90"," ","Deficit","Final"
"23/05/2024 22:00 - 23/05/2024 23:00","SCA|DK2","34.96"," "," "," ","34.96"," "," "," "," ","144.40"," ","Deficit","Final"
"23/05/2024 23:00 - 24/05/2024 00:00","SCA|DK2","79.01"," "," "," ","79.01"," "," "," "," ","91.80"," ","Deficit","Final"
"24/05/2024 00:00 - 24/05/2024 01:00","SCA|DK2","30.50"," "," "," ","30.50"," "," "," "," ","116.30"," ","Deficit","Final"
"24/05/2024 01:00 - 24/05/2024 02:00","SCA|DK2","31.19"," "," "," ","31.19"," "," "," "," ","45.30"," ","Deficit","Final"
"24/05/2024 02:00 - 24/05/2024 03:00","SCA|DK2","91.80"," "," "," ","91.80"," "," "," "," ","33.00"," ","Deficit","Final"
"24/05/2024 03:00 - 24/05/2024 04:00","SCA|DK2","103.23"," "," "," ","103.23"," "," "," "," ","16.80"," ","Deficit","Final"
"24/05/2024 04:00 - 24/05/2024 05:00","SCA|DK2","123.84"," "," "," ","123.84"," "," "," "," ","296.30"," ","Deficit","Final"
"24/05/2024 05:00 - 24/05/2024 06:00","SCA|DK2","122.07"," "," "," ","122.07"," "," "," "," ","306.30"," ","Deficit","Final"
"24/05/2024 06:00 - 24/05/2024 07:00","SCA|DK2","115.90"," "," "," ","115.90"," "," "," "," ","371.40"," ","Deficit","Final"
"24/05/2024 07:00 - 24/05/2024 08:00","SCA|DK2","106.10"," "," "," ","106.10"," "," "," "," ","397.50"," ","Deficit","Final"
"24/05/2024 08:00 - 24/05/2024 09:00","SCA|DK2","23.00"," "," "," ","23.00"," "," "," "," ","311.80"," ","Deficit","Final"
"24/05/2024 09:00 - 24/05/2024 10:00","SCA|DK2","23.45"," "," "," ","23.45"," "," "," "," ","62.10"," ","Deficit","Final"
"24/05/2024 10:00 - 24/05/2024 11:00","SCA|DK2","187.63"," "," "," ","187.63"," "," "," "," ","64.70"," ","Deficit","Final"
"24/05/2024 11:00 - 24/05/2024 12:00","SCA|DK2","51.29"," "," "," ","51.29"," "," "," "," ","51.90"," ","Deficit","Final"
"24/05/2024 12:00 - 24/05/2024 13:00","SCA|DK2","N/A"," "," "," ","N/A"," "," "," ","N/A","121.30"," ","Deficit","Final"
"24/05/2024 13:00 - 24/05/2024 14:00","SCA|DK2","21.99"," "," "," ","21.99"," "," "," "," ","74.40"," ","Deficit","Final"
"24/05/2024 14:00 - 24/05/2024 15:00","SCA|DK2","20.10"," "," "," ","20.10"," "," "," "," ","51.20"," ","Deficit","Final"
"24/05/2024 15:00 - 24/05/2024 16:00","SCA|DK2","98.79"," "," "," ","98.79"," "," "," "," ","186.30"," ","Deficit","Final"
"24/05/2024 16:00 - 24/05/2024 17:00","SCA|DK2","111.77"," "," "," ","111.77"," "," "," "," ","171.60"," ","Deficit","Final"
"24/05/2024 17:00 - 24/05/2024 18:00","SCA|DK2","129.99"," "," "," ","129.99"," "," "," "," ","239.70"," ","Deficit","Final"
"24/05/2024 18:00 - 24/05/2024 19:00","SCA|DK2","125.00"," "," "," ","125.00"," "," "," "," ","252.00"," ","Deficit","Final"
"24/05/2024 19:00 - 24/05/2024 20:00","SCA|DK2","115.84"," "," "," ","115.84"," "," "," "," ","224.20"," ","Deficit","Final"
"24/05/2024 20:00 - 24/05/2024 21:00","SCA|DK2","109.67"," "," "," ","109.67"," "," "," "," ","141.70"," ","Deficit","Final"
"24/05/2024 21:00 - 24/05/2024 22:00","SCA|DK2","99.84"," "," "," ","99.84"," "," "," "," ","202.30"," ","Deficit","Final"
"24/05/2024 22:00 - 24/05/2024 23:00","SCA|DK2","94.88"," "," "," ","94.88"," "," "," "," ","67.50"," ","Deficit","Final"
"24/05/2024 23:00 - 25/05/2024 00:00","SCA|DK2","91.83"," "," "," ","91.83"," "," "," "," ","21.20"," ","Deficit","Final"
"25/05/2024 00:00 - 25/05/2024 01:00","SCA|DK2","90.43"," "," "," ","90.43"," "," "," "," ","25.20"," ","Surplus","Final"
"25/05/2024 01:00 - 25/05/2024 02:00","SCA|DK2","89.16"," "," "," ","89.16"," "," "," "," ","35.00"," ","Deficit","Final"
"25/05/2024 02:00 - 25/05/2024 03:00","SCA|DK2","89.03"," "," "," ","89.03"," "," "," "," ","36.60"," ","Deficit","Final"
"25/05/2024 03:00 - 25/05/2024 04:00","SCA|DK2","30.16"," "," "," ","30.16"," "," "," "," ","165.00"," ","Surplus","Final"
"25/05/2024 04:00 - 25/05/2024 05:00","SCA|DK2","90.68"," "," "," ","90.68"," "," "," "," ","64.20"," ","Surplus","Final"
"25/05/2024 05:00 - 25/05/2024 06:00","SCA|DK2","86.23"," "," "," ","86.23"," "," "," "," ","33.00"," ","Surplus","Final"
"25/05/2024 06:00 - 25/05/2024 07:00","SCA|DK2","234.56"," "," "," ","234.56"," "," "," "," ","41.60"," ","Surplus","Final"
"25/05/2024 07:00 - 25/05/2024 08:00","SCA|DK2","234.56"," "," "," ","234.56"," "," "," "," ","0.50"," ","Surplus","Final"
"25/05/2024 08:00 - 25/05/2024 09:00","SCA|DK2","54.23"," "," "," ","54.23"," "," "," "," ","371.00"," ","Deficit","Final"
"25/05/2024 09:00 - 25/05/2024 10:00","SCA|DK2","23.00"," "," "," ","23.00"," "," "," "," ","125.90"," ","Deficit","Final"
"25/05/2024 10:00 - 25/05/2024 11:00","SCA|DK2","3.24"," "," "," ","3.24"," "," "," "," ","336.00"," ","Deficit","Final"
"25/05/2024 11:00 - 25/05/2024 12:00","SCA|DK2","11.67"," "," "," ","11.67"," "," "," "," ","135.10"," ","Deficit","Final"
"25/05/2024 12:00 - 25/05/2024 13:00","SCA|DK2","11.67"," "," "," ","11.67"," "," "," "," ","194.80"," ","Surplus","Final"
"25/05/2024 13:00 - 25/05/2024 14:00","SCA|DK2","1.05"," "," "," ","1.05"," "," "," "," ","138.30"," ","Surplus","Final"
"25/05/2024 14:00 - 25/05/2024 15:00","SCA|DK2","32.00"," "," "," ","32.00"," "," "," "," ","45.20"," ","Surplus","Final"
"25/05/2024 15:00 - 25/05/2024 16:00","SCA|DK2","268.06"," "," "," ","268.06"," "," "," "," ","44.70"," ","Deficit","Final"
"25/05/2024 16:00 - 25/05/2024 17:00","SCA|DK2","96.23"," "," "," ","96.23"," "," "," "," ","53.00"," ","Deficit","Final"
"25/05/2024 17:00 - 25/05/2024 18:00","SCA|DK2","115.77"," "," "," ","115.77"," "," "," "," ","38.70"," ","Deficit","Final"
"25/05/2024 18:00 - 25/05/2024 19:00","SCA|DK2","131.92"," "," "," ","131.92"," "," "," "," ","169.70"," ","Deficit","Final"
"25/05/2024 19:00 - 25/05/2024 20:00","SCA|DK2","13.54"," "," "," ","13.54"," "," "," "," ","120.10"," ","Deficit","Final"
"25/05/2024 20:00 - 25/05/2024 21:00","SCA|DK2","14.47"," "," "," ","14.47"," "," "," "," ","3.80"," ","Deficit","Final"
"25/05/2024 21:00 - 25/05/2024 22:00","SCA|DK2","104.54"," "," "," ","104.54"," "," "," "," ","14.60"," ","Deficit","Final"
"25/05/2024 22:00 - 25/05/2024 23:00","SCA|DK2","107.36"," "," "," ","107.36"," "," "," "," ","21.70"," ","Surplus","Final"
"25/05/2024 23:00 - 26/05/2024 00:00","SCA|DK2","98.30"," "," "," ","98.30"," "," "," "," ","90.90"," ","Deficit","Final"
"26/05/2024 00:00 - 26/05/2024 01:00","SCA|DK2","19.64"," "," "," ","19.64"," "," "," "," ","108.20"," ","Deficit","Final"
"26/05/2024 01:00 - 26/05/2024 02:00","SCA|DK2","14.47"," "," "," ","14.47"," "," "," "," ","110.30"," ","Deficit","Final"
"26/05/2024 02:00 - 26/05/2024 03:00","SCA|DK2","201.05"," "," "," ","201.05"," "," "," "," ","57.70"," ","Deficit","Final"
"26/05/2024 03:00 - 26/05/2024 04:00","SCA|DK2","13.76"," "," "," ","13.76"," "," "," "," ","16.60"," ","Deficit","Final"
"26/05/2024 04:00 - 26/05/2024 05:00","SCA|DK2","15.99"," "," "," ","15.99"," "," "," "," ","0.50"," ","Surplus","Final"
"26/05/2024 05:00 - 26/05/2024 06:00","SCA|DK2","4.02"," "," "," ","4.02"," "," "," "," ","433.80"," ","Deficit","Final"
"26/05/2024 06:00 - 26/05/2024 07:00","SCA|DK2","0.00"," "," "," ","0.00"," "," "," "," ","436.40"," ","Deficit","Final"
"26/05/2024 07:00 - 26/05/2024 08:00","SCA|DK2","-6.50"," "," "," ","-6.50"," "," "," "," ","324.80"," ","Deficit","Final"
"26/05/2024 08:00 - 26/05/2024 09:00","SCA|DK2","-13.40"," "," "," ","-13.40"," "," "," "," ","162.70"," ","Deficit","Final"
"26/05/2024 09:00 - 26/05/2024 10:00","SCA|DK2","-13.40"," "," "," ","-13.40"," "," "," "," ","64.90"," ","Deficit","Final"
"26/05/2024 10:00 - 26/05/2024 11:00","SCA|DK2","3.00"," "," "," ","3.00"," "," "," "," ","408.30"," ","Surplus","Final"
"26/05/2024 11:00 - 26/05/2024 12:00","SCA|DK2","1.00"," "," "," ","1.00"," "," "," "," ","276.80"," ","Surplus","Final"
"26/05/2024 12:00 - 26/05/2024 13:00","SCA|DK2","-6.00"," "," "," ","-6.00"," "," "," "," ","315.40"," ","Surplus","Final"
"26/05/2024 13:00 - 26/05/2024 14:00","SCA|DK2","-4.00"," "," "," ","-4.00"," "," "," "," ","136.00"," ","Surplus","Final"
"26/05/2024 14:00 - 26/05/2024 15:00","SCA|DK2","4.00"," "," "," ","4.00"," "," "," "," ","26.80"," ","Deficit","Final"
"26/05/2024 15:00 - 26/05/2024 16:00","SCA|DK2","12.00"," "," "," ","12.00"," "," "," "," ","146.30"," ","Deficit","Final"
