"ISP (UTC)","Area","+Imbalance Price (EUR/MWh)","+Scarcity (EUR/MWh)","+Incentive (EUR/MWh)","+Financial Neutrality (EUR/MWh)","-Imbalance Price (EUR/MWh)","-Scarcity (EUR/MWh)","-Incentive (EUR/MWh)","-Financial Neutrality (EUR/MWh)","Status","Total Imbalance (MWh)","Total Imbalance - Difference (MWh)","Total Imbalance - Situation","Total Imbalance - Status"
"04/01/2024 02:00 - 04/01/2024 03:00","SCA|DK2","55.18"," "," "," ","55.18"," "," "," "," ","95.70"," ","Deficit","Final"
"04/01/2024 03:00 - 04/01/2024 04:00","SCA|DK2","54.00"," "," "," ","54.00"," "," "," "," ","179.40"," ","Deficit","Final"
"04/01/2024 04:00 - 04/01/2024 05:00","SCA|DK2","53.65"," "," "," ","53.65"," "," "," "," ","198.10"," ","Deficit","Final"
"04/01/2024 05:00 - 04/01/2024 06:00","SCA|DK2","58.00"," "," "," ","58.00"," "," "," "," ","20.40"," ","Surplus","Final"
"04/01/2024 06:00 - 04/01/2024 07:00","SCA|DK2","92.00"," "," "," ","92.00"," "," "," "," ","97.30"," ","Deficit","Final"
"04/01/2024 07:00 - 04/01/2024 08:00","SCA|DK2","92.00"," "," "," ","92.00"," "," "," "," ","47.60"," ","Deficit","Final"
"04/01/2024 08:00 - 04/01/2024 09:00","SCA|DK2","74.50"," "," "," ","74.50"," "," "," "," ","357.00"," ","Deficit","Final"
"04/01/2024 09:00 - 04/01/2024 10:00","SCA|DK2","79.00"," "," "," ","79.00"," "," "," "," ","252.50"," ","Surplus","Final"
"04/01/2024 10:00 - 04/01/2024 11:00","SCA|DK2","94.74"," "," "," ","94.74"," "," "," "," ","7.10"," ","Surplus","Final"
"04/01/2024 11:00 - 04/01/2024 12:00","SCA|DK2","76.00"," "," "," ","76.00"," "," "," "," ","132.70"," ","Deficit","Final"
"04/01/2024 12:00 - 04/01/2024 13:00","SCA|DK2","76.00"," "," "," ","76.00"," "," "," "," ","65.00"," ","Deficit","Final"
"04/01/2024 13:00 - 04/01/2024 14:00","SCA|DK2","79.00"," "," "," ","79.00"," "," "," "," ","147.90"," ","Surplus","Final"
"04/01/2024 14:00 - 04/01/2024 15:00","SCA|DK2","99.00"," "," "," ","99.00"," "," "," "," ","29.30"," ","Surplus","Final"
"04/01/2024 15:00 - 04/01/2024 16:00","SCA|DK2","106.00"," "," "," ","106.00"," "," "," "," ","420.50"," ","Deficit","Final"
"04/01/2024 16:00 - 04/01/2024 17:00","SCA|DK2","134.00"," "," "," ","134.00"," "," "," "," ","462.30"," ","Deficit","Final"
"04/01/2024 17:00 - 04/01/2024 18:00","SCA|DK2","145.00"," "," "," ","145.00"," "," "," "," ","437.20"," ","Deficit","Final"
"04/01/2024 18:00 - 04/01/2024 19:00","SCA|DK2","125.00"," "," "," ","125.00"," "," "," "," ","359.20"," ","Deficit","Final"
"04/01/2024 19:00 - 04/01/2024 20:00","SCA|DK2","104.00"," "," "," ","104.00"," "," "," "," ","241.50"," ","Deficit","Final"
"04/01/2024 20:00 - 04/01/2024 21:00","SCA|DK2","100.01"," "," "," ","100.01"," "," "," "," ","652.10"," ","Deficit","Final"
"04/01/2024 21:00 - 04/01/2024 22:00","SCA|DK2","95.00"," "," "," ","95.00"," "," "," "," ","452.90"," ","Deficit","Final"
"04/01/2024 22:00 - 04/01/2024 23:00","SCA|DK2","88.83"," "," "," ","88.83"," "," "," "," ","160.10"," ","Deficit","Final"
"04/01/2024 23:00 - 05/01/2024 00:00","SCA|DK2","88.83"," "," "," ","88.83"," "," "," "," ","110.80"," ","Surplus","Final"
"05/01/2024 00:00 - 05/01/2024 01:00","SCA|DK2","78.00"," "," "," ","78.00"," "," "," "," ","61.20"," ","Deficit","Final"
"05/01/2024 01:00 - 05/01/2024 02:00","SCA|DK2","71.00"," "," "," ","71.00"," "," "," "," ","185.40"," ","Deficit","Final"
"05/01/2024 02:00 - 05/01/2024 03:00","SCA|DK2","71.00"," "," "," ","71.00"," "," "," "," ","43.80"," ","Deficit","Final"
"05/01/2024 03:00 - 05/01/2024 04:00","SCA|DK2","71.00"," "," "," ","71.00"," "," "," "," ","104.70"," ","Deficit","Final"
"05/01/2024 04:00 - 05/01/2024 05:00","SCA|DK2","70.00"," "," "," ","70.00"," "," "," "," ","67.60"," ","Deficit","Final"
"05/01/2024 05:00 - 05/01/2024 06:00","SCA|DK2","65.00"," "," "," ","65.00"," "," "," "," ","224.80"," ","Deficit","Final"
